cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
-1,1,704,reference,0,learned_reference,0.004528449720600475,0.06729375692142975,1.0,1.0,0.37331989587595116,0.4447486330112216
-1,1,704,reference,0,true_reference,0.004207599088082213,0.06486600872631376,1.0,1.0,0.37112173601978643,0.4421509438338915
-1,1,705,reference,0,learned_reference,0.010074154708041301,0.10037008871193301,1.0,1.0,0.3631660729514531,0.4328374975331801
-1,1,705,reference,0,true_reference,0.009934491714063886,0.0996719203891642,1.0,1.0,0.36126357044106866,0.43057654788088806
-1,1,706,reference,0,learned_reference,0.00584276631589664,0.07643799000429459,1.0,1.0,0.3540397486017227,0.4219424467708658
-1,1,706,reference,0,true_reference,0.005460177869919136,0.07389301638124632,1.0,1.0,0.35202275878523537,0.41954810866796094
-1,1,707,reference,0,learned_reference,0.004704400915166591,0.06858863546657414,1.0,1.0,0.3629260989080082,0.4323945157742927
-1,1,707,reference,0,true_reference,0.004940704270692206,0.07029014348180125,1.0,1.0,0.36203340419707286,0.4313385177476315
-1,1,708,reference,0,learned_reference,0.010346407115402502,0.10171729014972086,1.0,1.0,0.35717713705093423,0.4255386906378995
-1,1,708,reference,0,true_reference,0.010695984496259827,0.10342139283658786,1.0,1.0,0.35563655516451353,0.4237140723786723
-1,1,709,reference,0,learned_reference,0.01411727870418241,0.11881615506395757,0.875,1.0,0.3705759144644907,0.4414745764625083
-1,1,709,reference,0,true_reference,0.013936904292385413,0.11805466654218041,0.875,1.0,0.3691110014423328,0.43974369542556097
